GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clsd,nl.minor.clsd.presentation.controller,AccountController,151,9,6,0,19,4,11,1,8,1
clsd,nl.minor.clsd.presentation.controller,AccountHolderController,68,9,4,0,8,4,6,1,4,1
clsd,nl.minor.clsd,ClsdApplication,5,3,0,0,2,1,1,1,1,1
clsd,nl.minor.clsd.domain,AccountStatus,0,34,0,0,0,4,0,1,0,1
clsd,nl.minor.clsd.domain,IbanToStringConverter,16,3,2,0,5,1,3,1,2,1
clsd,nl.minor.clsd.presentation,AccountHolderMapperImpl,36,3,4,0,12,1,4,1,2,1
clsd,nl.minor.clsd.presentation,AccountHolderDto,26,0,0,0,5,0,6,0,6,0
clsd,nl.minor.clsd.presentation,AccountHolderMapper,5,0,0,0,1,0,1,0,1,0
clsd,nl.minor.clsd.presentation,AccountDto,52,0,0,0,7,0,10,0,10,0
clsd,nl.minor.clsd.presentation,AccountMapperImpl,66,3,8,0,20,1,6,1,2,1
clsd,nl.minor.clsd.presentation.requests,CreateAccountHolderRequestDto,26,0,0,0,5,0,6,0,6,0
clsd,nl.minor.clsd.presentation.requests,CreateAccountRequestDto,36,0,0,0,6,0,8,0,8,0
clsd,nl.minor.clsd.config,SwaggerConfig,0,14,0,0,0,6,0,2,0,2
clsd,nl.minor.clsd.application.error,NotFoundException,0,4,0,0,0,2,0,1,0,1
clsd,nl.minor.clsd.application.error,AlreadyExistsException,0,4,0,0,0,2,0,1,0,1
clsd,nl.minor.clsd.application.error,AccountHolderHasAccountException,4,0,0,0,2,0,1,0,1,0
clsd,nl.minor.clsd.application.error,AccountAlreadyBlockedException,4,0,0,0,2,0,1,0,1,0
clsd,nl.minor.clsd.application.error,WrongParameterTypeException,4,0,0,0,2,0,1,0,1,0
clsd,nl.minor.clsd.application.error,FailedToSaveObjectException,0,4,0,0,0,2,0,1,0,1
clsd,nl.minor.clsd.application.error,MissingParameterException,4,0,0,0,2,0,1,0,1,0
clsd,nl.minor.clsd.domain.entity,BaseEntity,0,10,0,0,0,3,0,3,0,3
clsd,nl.minor.clsd.domain.entity,AccountHolder,14,12,0,0,3,2,4,2,4,2
clsd,nl.minor.clsd.domain.entity,Account,65,30,0,0,7,7,11,3,11,3
clsd,nl.minor.clsd.application,AccountService,172,132,12,6,18,27,10,9,4,6
clsd,nl.minor.clsd.application,BaseService,87,6,8,0,23,3,10,1,6,1
clsd,nl.minor.clsd.application,AccountHolderService,96,10,8,0,11,4,7,1,3,1
